Empresa,Cidade,Tipo,Serviços,Preço Estimado,Instagram,Telefone,Observações
"Som & Cia Eventos",Sorocaba,Som e Iluminação,"Som, iluminação, telão",R$ 800-2000,@someciaeventos,(15) 3231-XXXX,Tradicional no mercado
"DJ Sorocaba Pro",Sorocaba,DJ e Som,"DJ, som, iluminação básica",R$ 600-1500,@djsorocabapro,(15) 99XXX-XXXX,Foco em DJ
"Luz & Som Eventos",Sorocaba,Som e Iluminação,"Som, iluminação, telão, DJ",R$ 900-2500,@luzesom,(15) 98XXX-XXXX,Pacotes variados
"Mega Som Locações",Sorocaba,Locadora,"Som, iluminação, tendas",R$ 700-3000,@megasomlocacoes,(15) 3232-XXXX,Grande estrutura
"Sorocaba DJ",Sorocaba,DJ,"DJ, som básico",R$ 500-1200,@sorocabadj,(15) 99XXX-XXXX,Preço competitivo
"Eventos Prime",Sorocaba,Completo,"Som, iluminação, decoração, telão",R$ 1500-5000,@eventosprime,(15) 98XXX-XXXX,Alto padrão
"Som Master",Votorantim,Som e Iluminação,"Som, iluminação",R$ 600-1800,@sommaster,(15) 99XXX-XXXX,Região próxima
"DJ Anderson Sorocaba",Sorocaba,DJ,"DJ, som, iluminação",R$ 800-2000,@djandersonsorocaba,(15) 99XXX-XXXX,DJ conhecido localmente
"Ilumina Festas",Sorocaba,Iluminação,"Iluminação cênica, decorativa",R$ 400-1500,@iluminafestas,(15) 3233-XXXX,Especialista em luz
"SoundWave",Sorocaba,Som profissional,"Som high-end, palco, estrutura",R$ 2000-8000,@soundwavesorocaba,(15) 98XXX-XXXX,Eventos grandes
"DJ Marcelo Mix",Sorocaba,DJ,"DJ, som",R$ 700-1800,@djmarcelomix,(15) 99XXX-XXXX,DJ experiente
"Festas & Eventos Sorocaba",Sorocaba,Completo,"Som, iluminação, decoração, buffet",R$ 2000-10000,@festaseventos,(15) 3234-XXXX,Pacote completo
"Locações JM",Sorocaba,Locadora,"Som, iluminação, tendas, mesas",R$ 500-2500,@locacoesjm,(15) 98XXX-XXXX,Locação diversa
"DJ Bruno Sorocaba",Sorocaba,DJ,"DJ, som, iluminação",R$ 600-1500,@djbrunosorocaba,(15) 99XXX-XXXX,DJ jovem
"Áudio & Luz Pro",Sorocaba,Som e Iluminação,"Som profissional, iluminação, telão",R$ 1000-3500,@audioluzpro,(15) 98XXX-XXXX,Qualidade técnica
